DATE,FC,오류 유형,오류 내용,PO ID,IPR,벤더ID,벤더명,상품바코드,상품명,수량,PLT,"택배 or 
 업체직접회수",택배 주소,담당자/contact,운송장 출력,"SRMS
 업체회신 일자","D+6
 폐기조건","최종
 처리완료일",최종 처리,Remark 날자,메모,"운송장번호
 (자동)","택배
 진행상태","집하일자
 (택배)","배달일자
 (택배)","화물상태
 (원본)",매칭구분,"중복/재신고
 점검",매칭행(h)
2026-06-02,,1.파손,1) 박스파손/택배발송예정입니다/직접회수 필요시 영업일 기준 D+6까지 SRMS시스템 회송방법 등록 요망/SRMS미등록시 택배발송/반송시 폐기/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132466338,IPR0016929830,A01633231,마그넬라 유한회사,S0037246556254,Qicco 침대 매트리스 무음 포켓스프링 바닥 매트리스 / 25cm 중간 퀸,2,1,택배,인천광역시 연수구 인천신항대로 866-5 글로벌풀필먼트센터,8210-8114-9046,TRUE,,O,2026-07-03,택배 회송,,,2662-8427-5854,인수완료,2026-06-05,2026-06-18,인수자등록,정확(IPR),,486
2026-06-02,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131271661,IPR0016929846,A01648749,광저우스타웨이테크 유한회사,S0037625906913,kipnos 행거 스탠드 옷걸이행거 튼튼한행거 스탠드행거 철제 다용도 / 화이트 6단,1,1,업체직접회수,,,FALSE,2026-06-09,O,2026-07-06,D+6 폐기,2026-06-23,폐기존 이동 완료,,,,,,,,
2026-06-02,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131271661,IPR0016929845,A01648749,광저우스타웨이테크 유한회사,S0037625938585,Kipnos 행거 스탠드 옷걸이행거 튼튼한행거 스탠드행거 철제 다용도 / 화이트 6단,1,1,업체직접회수,,,FALSE,2026-06-09,O,2026-07-06,D+6 폐기,2026-06-23,폐기존 이동 완료,,,,,,,,
2026-06-02,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131271661,IPR0016929844,A01648749,광저우스타웨이테크 유한회사,S0037625906907,kipnos 행거 스탠드 옷걸이행거 튼튼한행거 스탠드행거 철제 다용도 / 화이트 5단,1,1,업체직접회수,,,FALSE,2026-06-09,O,2026-07-06,D+6 폐기,2026-06-23,폐기존 이동 완료,,,,,,,,
2026-06-05,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132466338,IPR0016950667,A01633231,마그넬라 유한회사,S0037246556250,Qicco 침대 매트리스 무음 포켓스프링 바닥 매트리스 / 25cm 중간 슈퍼싱글,6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-16,폐기존 이동 완료,,,,,,,최신건,
2026-06-05,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132464349,IPR0016950659,A01447724,유한회사 안림트레이드,S0037635403104,모던홈 드레스룸 행거 / 화이트 단일사이즈,6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-16,폐기존 이동 완료,,,,,,,,
2026-06-05,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132464349,IPR0016950658,A01447724,유한회사 안림트레이드,S0037635403102,모던홈 드레스룸 행거 / 블랙 단일사이즈,4,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-16,폐기존 이동 완료,,,,,,,,
2026-06-18,,16.기타,1) 발주마감/업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),127922158,IPR0017069983,A01630600,넬리,S0037387492111,SO-030 아크릴거울 / 화이트 70 x 120cm,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-18,,16.기타,1) 발주마감/업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),129798196,IPR0017069986,A01574451,신위쳉 유한회사,S0037352128363,Uri Jip 다용도 스탠드형 회전 전신거울 수납 옷걸이행거 / 호두색 166cm,3,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-18,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132120251,IPR0017069820,A01619328,다줄께 유한회사,S0037448269285,SeekFun 업소용 카운터 01-ZZ / 화이트(좌고우저),6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,최신건,
